,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,600820.XSHG,2006-04-28,18.3,18.3038,0.99,0.3,46.12,600820.XSHG,1.25,1.25,0.28,1.82,11.74,98.59,2.05,1.82,0.28,5.25,2.17,59.7,27.0,,131.42,-7.88,-559.07,-12.73,-4.93,-12.73,-4.93,24.55,90.95,9.29,-7.74,14.35,-22.06,-1,1,1
0,600820.XSHG,2006-08-12,24.2,24.1992,1.28,0.4,60.98,600820.XSHG,1.96,1.96,0.44,2.48,8.86,99.78,1.22,2.48,0.16,3.0,1.73,7.79,34.68,,63.9,8.37,3750.0601,-13.34,17.46,-13.34,17.46,-48.7,-30.22,33.3,60.06,39.3,57.59,-1,-1,-1
0,600820.XSHG,2006-10-27,22.96,22.964,1.21,0.38,57.86,600820.XSHG,1.14,1.14,0.25,1.36,10.21,98.73,1.96,1.36,0.53,4.17,1.68,61.95,33.57,,84.53,32.96,2591.0601,1.28,8.62,1.28,8.62,25.92,75.19,-11.59,-40.17,-10.51,-41.64,-1,-1,-1
0,600820.XSHG,2007-04-13,28.02,28.0172,1.46,0.46,70.6,600820.XSHG,1.89,1.89,0.41,2.81,14.63,104.74,3.69,2.81,0.81,5.58,7.01,-120.38,214.01,,115.31,9.26,-195.37,-2.3,-19.46,-2.3,-19.46,253.55,51.45,46.37,65.66,21.57,69.6,-1,-1,-1
0,600820.XSHG,2007-04-26,53.51,45.0211,2.7,0.88,134.83,600820.XSHG,1.81,1.81,0.38,2.25,11.39,97.93,2.82,2.25,0.27,4.33,2.02,71.38,25.95,,134.95,11.79,569.15,25.67,22.3,25.67,22.3,73.43,-6.33,55.62,-1.91,54.7,-0.83,-1,-1,-1
0,600820.XSHG,2007-08-22,48.11,52.5325,3.16,1.04,19.84,600820.XSHG,2.16,2.16,0.45,2.47,12.07,97.04,3.57,2.47,0.2,3.46,2.57,70.84,14.37,,60.93,10.86,366.33,17.54,9.86,17.54,9.86,244.64,38.68,17.09,20.44,16.87,19.06,-1,-1,-1
0,600820.XSHG,2007-10-26,61.41,70.248,4.25,1.34,36.83,600820.XSHG,1.89,1.89,0.39,1.81,8.64,99.52,1.14,1.81,0.32,3.19,1.65,19.21,26.81,,80.91,4.03,842.67,28.99,19.2,28.99,19.2,-24.71,-61.73,71.28,-12.48,77.14,-11.54,1,1,1
0,600820.XSHG,2008-04-11,55.89,71.6652,4.24,1.27,916.44,600820.XSHG,3.16,3.16,0.66,2.43,8.9,101.56,3.06,2.43,0.54,2.6,3.35,-49.36,146.08,,130.11,43.43,-2779.51,110.85,31.66,110.85,31.66,75.08,252.17,82.89,76.89,78.63,71.03,-1,-1,-1
0,600820.XSHG,2008-04-25,47.09,39.6883,3.32,1.07,772.05,600820.XSHG,2.58,2.58,0.52,2.2,9.59,98.81,2.99,2.2,0.22,3.02,2.16,40.51,61.35,,126.58,-4.99,-419.49,60.49,-7.47,60.49,-7.47,61.0,-9.66,47.04,-16.31,45.16,-14.49,-1,-1,-1
0,600820.XSHG,2008-08-09,29.21,31.9845,1.75,0.64,11.43,600820.XSHG,2.5,2.5,0.61,2.59,10.23,98.66,3.13,2.59,0.29,2.73,2.57,36.08,48.1,,82.65,6.61,493.67,51.32,4.44,51.32,4.44,8.3,9.18,25.07,22.77,24.61,22.73,1,1,1
0,600820.XSHG,2008-10-30,29.8,34.8362,1.91,0.63,5.94,600820.XSHG,1.7,1.7,0.41,1.54,7.16,100.12,1.38,1.54,0.24,2.89,1.55,-6.61,84.47,,113.55,10.76,-9164.1797,49.44,17.28,49.44,17.28,46.3,-48.05,10.41,-30.29,7.44,-31.33,-1,1,1
0,600820.XSHG,2009-03-21,35.39,42.0038,2.2,0.69,5.26,600820.XSHG,3.88,3.88,0.89,3.05,8.14,99.41,1.83,3.05,0.34,2.37,1.16,17.49,36.58,,102.94,33.94,5745.23,30.96,15.88,30.96,15.88,6.03,52.87,132.13,129.47,139.68,132.42,-1,-1,-1
