,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,002437.XSHE,2010-08-19,64.53,66.4337,4.29,19.26,177.77,002437.XSHE,4.12,4.12,3.6,29.57,53.95,64.93,34.84,29.57,10.03,8.76,0.67,100.63,-0.63,,114.17,32.18,91.78,40.39,112.4,40.39,112.4,26.12,228.19,27.13,205.51,27.13,205.51,1,1,1
0,002437.XSHE,2010-10-28,76.21,84.3858,5.35,22.19,6.25,002437.XSHE,2.95,2.95,2.65,25.14,49.31,69.79,29.91,25.14,8.55,10.81,-0.52,100.04,-0.99,,111.0,-5.05,-16.72,37.28,-14.32,37.28,-14.32,40.79,-26.44,32.49,-27.16,32.49,-27.16,1,1,1
0,002437.XSHE,2011-02-22,70.58,82.7519,5.08,20.23,6.91,002437.XSHE,4.74,4.74,4.33,28.31,54.83,66.58,33.25,28.31,6.88,13.88,-0.52,99.86,-0.53,,106.1,37.71,112.81,26.9,46.64,26.9,46.64,3.64,62.98,3.68,65.12,3.68,65.12,-1,-1,-1
0,002437.XSHE,2011-04-22,55.18,55.1809,4.13,14.84,5.89,002437.XSHE,0.75,0.75,0.73,17.07,48.41,78.78,20.71,17.07,13.52,14.09,-1.63,103.0,-2.48,,104.94,-23.16,-109.12,22.39,-54.14,22.39,-54.14,12.42,-71.43,1.63,-72.34,1.63,-72.34,-1,-1,-1
0,002437.XSHE,2011-08-30,42.28,42.3494,3.1,11.06,4.72,002437.XSHE,2.27,2.27,2.2,29.6,52.56,64.54,35.18,29.6,6.02,11.44,-0.97,100.74,-0.8,,120.22,40.02,112.86,1.18,75.59,1.18,75.59,2.15,198.21,1.28,204.47,1.28,204.47,-1,-1,-1
0,002437.XSHE,2011-10-27,39.11,39.327,2.86,10.24,-18.21,002437.XSHE,0.55,0.55,0.53,9.72,43.14,86.14,13.58,9.72,9.74,20.47,-1.74,117.1,-2.32,,115.74,-2.59,-18.67,-13.13,-26.43,-13.13,-26.43,-60.56,-71.6,-66.4,-75.83,-66.4,-75.83,-1,-1,-1
0,002437.XSHE,2012-03-22,35.68,30.5857,2.23,8.21,-26.34,002437.XSHE,1.93,1.93,1.82,23.85,48.86,73.27,26.81,23.85,10.34,24.44,-12.85,99.62,0.31,,122.49,51.26,191.77,-14.8,43.83,-14.8,43.83,-31.28,183.98,-28.2,252.81,-27.6,255.76,-1,-1,-1
0,002437.XSHE,2012-04-11,41.12,41.12,2.22,8.79,-55.35,002437.XSHE,0.79,0.79,0.72,13.3,56.76,81.71,18.29,13.3,25.15,16.97,-4.67,99.99,0.0,,115.59,19.46,106.43,36.88,-26.33,36.88,-26.33,20.84,-49.76,6.6,-58.93,9.07,-58.33,-1,1,1
0,002437.XSHE,2012-08-18,46.87,47.4462,2.54,9.55,875.77,002437.XSHE,2.75,2.75,2.55,29.28,63.09,65.91,34.52,29.28,15.64,16.55,-4.75,98.87,1.24,,108.54,40.18,117.87,27.11,63.07,27.11,63.07,24.73,207.81,25.71,259.05,26.07,251.93,-1,-1,-1
0,002437.XSHE,2012-10-29,34.05,38.1247,1.98,7.13,-26.09,002437.XSHE,0.96,0.96,0.86,16.31,60.88,80.85,20.58,16.31,19.21,24.8,-5.64,93.0,6.94,,210.82,52.64,274.91,7.76,-37.63,7.76,-37.63,63.27,-62.82,80.71,-65.26,84.09,-64.71,-1,1,1
0,002437.XSHE,2013-03-18,40.31,48.5005,2.43,8.94,-83.69,002437.XSHE,2.91,2.91,2.67,26.16,69.01,70.21,30.74,26.16,29.34,13.98,-4.97,94.79,3.04,,70.26,12.23,41.07,44.93,93.43,44.93,93.43,66.17,189.01,58.98,210.37,58.49,206.29,-1,-1,-1
0,002437.XSHE,2013-04-26,45.2,45.2024,3.19,10.47,-39.45,002437.XSHE,0.85,0.66,0.79,10.01,66.93,88.09,12.76,10.01,41.11,14.08,-1.57,93.45,6.65,77.71,86.58,16.88,141.7,64.54,-16.36,64.54,-16.36,14.83,-65.28,23.83,-68.01,15.81,-69.55,1,1,1
0,002437.XSHE,2013-08-17,42.75,43.4521,3.04,9.03,-24.09,002437.XSHE,3.18,1.89,2.76,17.98,82.34,86.61,13.52,17.98,63.77,4.67,-1.65,64.84,0.63,59.52,106.95,27.35,204.2,98.31,96.53,98.31,96.53,-22.32,108.23,21.77,253.05,20.19,265.25,-1,1,1
0,002437.XSHE,2013-10-26,45.37,49.4847,3.55,8.19,-14.0,002437.XSHE,1.83,1.71,1.59,12.97,80.47,85.46,14.63,12.97,54.12,10.87,-0.58,94.98,0.56,93.49,137.24,38.47,264.51,158.07,-18.83,158.07,-18.83,83.48,-12.18,105.35,-41.42,97.74,-41.94,-1,1,1
0,002437.XSHE,2014-04-19,58.75,71.5422,4.93,9.83,-20.07,002437.XSHE,3.88,2.34,3.34,25.73,74.06,80.47,19.8,25.73,30.26,24.58,-1.75,65.0,0.9,60.27,142.71,49.77,254.88,43.57,7.61,43.57,7.61,-7.54,45.63,41.18,113.38,39.82,116.58,-1,-1,-1
0,002437.XSHE,2014-04-26,74.33,65.7712,6.07,12.43,-25.39,002437.XSHE,2.78,2.56,2.05,22.13,63.11,75.79,24.48,22.13,26.48,11.15,-0.1,92.25,1.01,92.16,123.89,8.33,34.4,46.5,-14.65,46.5,-14.65,180.98,5.51,223.96,-26.6,237.86,-26.43,-1,-1,-1
0,002437.XSHE,2014-08-23,52.59,63.5978,5.62,10.26,-18.67,002437.XSHE,5.46,5.18,3.82,23.13,60.8,73.66,26.77,23.13,21.7,9.63,1.51,93.63,1.55,94.98,116.15,31.0,117.72,46.85,97.0,46.85,97.0,190.77,115.49,88.94,105.91,85.63,100.68,-1,1,1
0,002437.XSHE,2014-10-25,49.39,73.3227,6.25,10.41,-53.38,002437.XSHE,3.78,3.13,2.76,21.45,64.14,78.75,21.59,21.45,21.61,18.63,1.72,82.71,1.31,82.68,135.03,30.11,141.65,39.98,-22.63,39.98,-22.63,106.58,-37.61,131.39,-28.25,125.79,-29.38,-1,-1,-1
0,002437.XSHE,2015-04-03,44.59,76.6631,5.75,10.05,-45.1,002437.XSHE,5.38,4.61,3.8,27.95,64.28,71.63,29.03,27.95,17.71,15.27,1.42,84.74,1.96,85.68,125.74,60.32,212.64,49.29,14.77,49.29,14.77,118.89,54.3,62.2,49.57,58.91,52.42,-1,-1,-1
0,002437.XSHE,2015-04-25,63.91,56.1407,7.92,14.4,-64.64,002437.XSHE,4.06,3.71,2.17,24.58,63.14,72.31,28.01,24.58,15.21,16.29,2.74,91.36,1.08,91.38,107.82,12.6,45.52,72.84,-1.2,72.84,-1.2,97.82,-4.64,91.97,-13.12,85.84,-13.96,1,1,1
0,002437.XSHE,2015-08-26,42.38,47.9109,6.5,9.99,269.88,002437.XSHE,6.31,6.24,3.43,28.63,64.2,66.35,33.77,28.63,12.56,13.38,3.07,99.05,0.35,98.87,107.11,39.89,118.54,22.56,39.69,22.56,39.69,54.59,68.4,51.71,62.72,46.7,58.41,-1,-1,-1
0,002437.XSHE,2015-10-27,31.39,39.945,5.42,7.83,91.62,002437.XSHE,5.42,4.92,2.84,27.7,63.61,70.45,29.81,27.7,12.91,16.3,3.47,91.06,0.8,90.81,128.36,36.13,122.28,42.49,-10.05,42.49,-10.05,96.72,-20.61,84.05,-12.96,83.61,-11.62,-1,-1,-1
0,002437.XSHE,2016-04-22,34.4,49.9663,6.43,9.01,40.06,002437.XSHE,5.53,4.61,2.85,24.44,62.2,76.71,23.59,24.44,13.08,18.54,3.05,83.81,1.09,83.4,112.64,13.2,56.66,44.78,16.62,44.78,16.62,17.67,-7.7,26.58,2.87,22.22,1.46,-1,-1,-1
0,002437.XSHE,2016-04-27,33.32,31.7253,6.23,8.73,38.8,002437.XSHE,4.37,3.89,1.87,25.72,60.07,73.62,26.77,25.72,8.72,19.95,4.1,89.21,1.3,89.04,115.01,-2.08,-7.89,13.15,-22.78,13.15,-22.78,8.11,-12.39,18.43,-18.71,21.91,-14.18,-1,-1,-1
0,002437.XSHE,2016-08-29,27.15,28.2491,5.36,6.9,93.03,002437.XSHE,5.2869,5.1834,2.35,26.0435,56.9766,70.019,30.2743,26.0435,6.526,15.0731,3.5301,97.7079,0.9557,98.0424,115.1085,64.0273,213.5595,0.418,23.9746,0.418,23.9746,-9.9753,40.2211,-8.6485,25.5116,-4.7106,23.8219,-1,-1,-1
0,002437.XSHE,2016-10-22,27.04,27.762,5.24,6.78,-504.67,002437.XSHE,5.8502,5.0524,2.6121,29.6875,59.7753,70.1126,30.7213,29.6875,8.4629,16.6335,3.4199,85.1201,2.3749,86.3628,101.1444,15.1748,50.7731,10.7722,-0.7747,10.7722,-0.7747,14.1719,0.6906,18.7101,13.1088,23.1836,14.257,-1,-1,-1
0,002437.XSHE,2017-04-22,24.71,27.346,4.78,6.39,-76.26,002437.XSHE,3.7766,3.1933,1.7758,17.0081,57.8337,83.0282,17.3064,17.0081,10.9851,17.0899,3.1375,83.0569,1.6373,84.5548,127.1559,52.3719,308.5813,18.4694,21.5848,18.4694,21.5848,-8.0341,-31.507,-14.0658,-30.3435,-11.54,-32.1399,-1,-1,-1
0,002437.XSHE,2017-04-27,23.68,23.6787,4.58,5.83,-73.03,002437.XSHE,3.0098,3.0059,1.3883,20.0701,58.4319,76.2713,24.3016,20.0701,10.2387,16.8759,5.7786,97.8833,2.3632,99.8698,103.3348,6.4821,27.3174,-2.6722,-32.809,-2.6722,-32.809,-16.2848,-5.6505,-27.3691,-20.7127,-26.572,-17.4017,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,002438.XSHE,2010-08-17,63.17,64.8427,3.71,9.27,759.81,002438.XSHE,3.45,3.45,2.36,17.06,43.46,81.11,18.89,17.06,11.98,8.35,0.52,94.26,0.0,,71.81,-1.17,-6.2,3.46,86.96,3.46,86.96,27.25,250.9,31.17,175.84,31.17,175.84,1,1,1
0,002438.XSHE,2010-10-23,76.51,85.3327,4.81,12.07,6.75,002438.XSHE,2.5,2.5,1.81,14.64,43.32,83.34,16.66,14.64,11.57,16.79,-0.48,102.95,0.0,,75.14,-47.73,-286.54,11.31,-14.7,11.31,-14.7,-12.76,-24.78,-11.67,-26.78,-11.67,-26.78,1,1,1
0,002438.XSHE,2011-04-12,85.65,92.4332,5.1,12.73,7.95,002438.XSHE,2.63,2.63,1.87,13.76,40.67,83.28,16.72,13.76,11.97,12.99,-3.93,89.24,0.0,,122.38,14.42,86.25,4.69,13.91,4.69,13.91,3.01,14.36,-1.27,7.06,-1.27,7.06,-1,-1,-1
0,002438.XSHE,2011-04-22,67.54,67.7727,3.98,10.04,6.26,002438.XSHE,0.87,0.87,0.7,10.68,36.93,91.51,8.49,10.68,14.69,12.97,-0.27,66.75,0.0,,137.1,-16.41,-193.38,26.22,-30.52,26.22,-30.52,6.42,-64.74,16.57,-46.09,16.57,-46.09,-1,-1,-1
0,002438.XSHE,2011-07-26,52.57,53.6711,3.13,7.53,5.23,002438.XSHE,2.32,2.32,1.86,17.31,41.89,80.89,19.11,17.31,9.48,16.44,-4.15,96.74,0.0,,88.58,-13.33,-69.73,11.98,65.88,11.98,65.88,13.31,273.6,13.64,168.9,13.64,168.9,1,1,1
0,002438.XSHE,2011-10-18,54.08,57.7742,3.31,7.84,-18.2,002438.XSHE,1.72,1.72,1.33,13.95,38.58,84.36,15.64,13.95,10.09,10.89,0.07,95.52,0.0,,98.4,29.8,190.48,21.78,-7.24,21.78,-7.24,14.36,-24.08,16.03,-25.24,16.03,-25.24,1,1,1
0,002438.XSHE,2012-03-13,48.27,53.5296,3.06,6.91,-24.86,002438.XSHE,1.83,1.83,1.39,11.33,38.53,85.66,14.34,11.33,14.54,9.0,-2.17,101.56,0.0,,115.39,23.88,166.51,41.22,32.1,41.22,32.1,21.12,21.11,16.29,7.3,16.29,7.3,-1,1,1
0,002438.XSHE,2012-04-21,55.76,55.7552,3.62,7.51,-34.2,002438.XSHE,1.06,1.06,0.77,11.01,39.34,87.42,12.58,11.01,16.77,12.84,-3.44,94.86,0.0,,109.86,-46.51,-369.69,25.25,-38.38,25.25,-38.38,85.69,-45.94,29.18,-40.11,29.18,-40.11,1,1,1
0,002438.XSHE,2012-07-24,60.28,62.5227,4.01,8.09,-24.67,002438.XSHE,2.66,2.66,1.94,16.23,39.46,82.39,17.61,16.23,9.17,12.65,-1.67,94.59,0.0,,74.47,-21.12,-119.95,29.56,71.58,29.56,71.58,19.35,140.14,21.44,152.78,21.44,152.78,-1,1,1
0,002438.XSHE,2012-10-24,55.9,62.0729,3.93,7.47,-28.05,002438.XSHE,1.87,1.87,1.36,13.81,41.46,83.14,16.86,13.81,11.24,10.9,-1.69,101.58,0.0,,90.93,-18.02,-106.92,16.59,-16.53,16.59,-16.53,25.61,-20.1,15.36,-28.98,15.36,-28.98,-1,-1,-1
0,002438.XSHE,2013-03-15,44.35,50.9914,3.09,5.92,-25.11,002438.XSHE,2.52,2.52,1.81,15.66,41.78,82.36,17.64,15.66,9.98,13.29,-1.38,96.27,0.0,,112.13,30.92,175.3,6.13,20.25,6.13,20.25,30.49,25.82,46.66,36.41,46.66,36.41,-1,1,1
0,002438.XSHE,2013-04-20,39.61,39.6133,3.07,5.78,-27.4,002438.XSHE,1.42,1.34,1.03,12.62,42.68,85.77,14.23,12.62,16.14,13.82,0.16,94.38,0.0,94.3,127.58,-27.21,-191.25,25.0,-27.42,25.0,-27.42,41.35,-41.45,43.23,-41.51,43.23,-41.51,1,1,1
