,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,300164.XSHE,2011-04-22,64.04,51.0981,2.89,11.82,45.73,300164.XSHE,-1.72,-1.72,-1.36,-64.62,56.64,164.62,-64.62,-64.62,94.33,41.8,-15.51,100.0,0.0,,240.88,-385.14,595.98,653.64,-83.35,653.64,-83.35,28.28,-136.45,27.18,-138.91,27.18,-138.91,-1,-1,-1
0,300164.XSHE,2011-08-19,36.49,39.1214,2.24,7.55,3.09,300164.XSHE,3.02,3.02,2.36,25.16,51.53,76.18,23.82,25.16,20.95,9.89,-4.13,87.03,0.0,,73.37,20.55,86.29,-5.61,348.01,-5.61,348.01,-0.56,265.13,6.88,274.46,6.88,274.46,-1,-1,-1
0,300164.XSHE,2011-10-26,35.35,38.6692,2.14,7.58,3.01,300164.XSHE,4.99,4.99,3.84,28.51,55.07,66.74,33.26,28.51,16.85,7.01,-5.3,98.98,0.0,,18.34,-34.39,-103.4,20.43,49.59,20.43,49.59,31.57,108.88,26.05,69.48,26.05,69.48,-1,-1,-1
0,300164.XSHE,2012-03-02,28.09,34.0438,1.88,6.26,2.94,300164.XSHE,4.63,4.63,3.53,26.34,54.03,70.2,29.8,26.34,16.6,9.55,-3.86,96.96,0.0,,104.33,53.77,180.44,14.62,2.72,14.62,2.72,15.72,-7.96,9.18,-5.1,9.18,-5.1,-1,-1,-1
0,300164.XSHE,2012-04-26,28.08,28.0788,1.9,6.19,20.23,300164.XSHE,-0.63,-0.63,-0.53,-29.92,52.15,135.91,-35.91,-29.92,77.74,30.15,-23.3,120.05,0.0,,246.37,-58.75,163.58,30.98,-80.97,30.98,-80.97,27.21,-122.93,39.36,-121.61,39.36,-121.61,1,1,1
0,300164.XSHE,2012-08-03,28.31,30.0206,2.04,6.52,-3.68,300164.XSHE,1.9,1.9,1.6,23.16,56.17,78.41,21.59,23.16,27.75,11.18,-6.36,81.89,0.0,,47.8,-64.43,-298.4,13.45,288.07,13.45,288.07,2.86,333.33,4.43,400.48,4.43,400.48,1,1,1
0,300164.XSHE,2012-10-25,30.62,32.8356,2.24,6.91,-3.58,300164.XSHE,3.34,3.34,2.75,29.81,59.47,64.02,35.98,29.81,17.79,6.63,-3.93,100.52,0.0,,40.61,-0.73,-2.02,5.46,39.05,5.46,39.05,14.08,131.68,10.25,78.92,10.25,78.92,-1,-1,-1
0,300164.XSHE,2013-02-28,28.28,31.6438,2.07,6.54,-3.7,300164.XSHE,0.58,0.58,0.47,7.25,48.4,91.01,8.99,7.25,27.34,14.29,-4.8,104.47,0.0,,192.35,98.91,1100.22,-26.36,-28.27,-26.36,-28.27,-77.78,-82.08,-79.74,-82.56,-79.74,-82.56,-1,-1,-1
0,300164.XSHE,2013-04-23,45.52,45.5166,2.31,8.01,-873.99,300164.XSHE,-1.56,-1.66,-1.22,-87.6,50.79,194.49,-94.49,-87.6,121.03,48.52,-20.94,107.94,0.0,,433.36,-98.13,103.85,-13.67,-77.7,-13.67,-77.7,-127.13,-334.43,-152.78,-369.66,-152.78,-369.66,1,1,1
0,300164.XSHE,2013-08-23,72.24,58.9701,3.04,10.47,560.87,300164.XSHE,3.0,2.07,2.15,27.49,54.86,79.88,27.9,27.49,25.81,7.9,-1.86,67.18,25.96,69.04,37.54,-4.64,-23.04,39.59,527.5,39.59,527.5,80.35,285.27,65.64,296.89,62.62,293.3,1,1,1
0,300164.XSHE,2013-10-28,64.12,66.8434,3.38,10.7,10.61,300164.XSHE,1.59,1.5,1.27,15.67,55.73,80.11,17.08,15.67,25.26,7.65,-1.8,109.54,-15.49,94.05,48.05,-40.18,-201.97,-3.35,-3.72,-3.35,-3.72,-54.11,-41.05,-49.18,-45.11,-51.46,-46.59,1,1,1
0,300164.XSHE,2014-04-16,92.47,65.6505,3.34,10.63,-1165.91,300164.XSHE,-0.27,-0.08,-0.28,-4.7,34.91,106.92,-4.16,-4.7,22.74,22.25,-2.48,79.25,-31.57,,79.96,-6.34,91.6,-2.33,-27.52,-2.33,-27.52,-145.25,-117.67,-163.29,-121.72,-146.73,-116.78,-1,1,1
0,300164.XSHE,2014-04-29,114.82,149.6827,4.2,13.2,-1447.67,300164.XSHE,-1.47,-1.47,-1.22,-113.54,40.65,250.15,-99.71,-113.54,146.05,60.4,-17.59,150.23,-50.47,,671.62,218.22,-145.34,-21.98,-82.18,-21.98,-82.18,17.67,-326.56,-1.13,-330.87,5.55,-445.05,-1,1,1
0,300164.XSHE,2014-08-22,184.71,190.4256,5.4,17.11,-247.85,300164.XSHE,0.15,0.12,-0.04,-0.75,44.02,114.52,-3.84,-0.75,41.29,17.84,-2.69,442.46,-325.58,79.74,80.37,-10.4,71.6,-43.82,351.83,-43.82,351.83,-107.72,82.62,-101.53,97.03,-95.16,109.9,-1,-1,-1
0,300164.XSHE,2014-10-27,35082.6484,159.5837,4.46,17.01,-13.04,300164.XSHE,1.68,1.49,1.88,19.03,40.89,85.32,19.92,19.03,16.0,8.52,-0.52,67.99,24.27,88.64,27.36,-29.62,-201.78,25.86,115.7,25.86,115.7,46.77,1220.2,52.84,5600.0601,5.14,1060.3,-1,-1,-1
0,300164.XSHE,2015-03-20,3081.3,105.2598,2.91,10.14,-71.28,300164.XSHE,0.65,0.63,1.15,12.61,40.77,91.32,14.82,12.61,18.76,9.73,-0.24,57.85,40.92,96.98,67.1,-14.08,-162.21,62.26,-6.56,62.26,-6.56,677.54,-30.46,535.79,-38.08,342.88,-61.23,-1,-1,-1
0,300164.XSHE,2015-04-30,434.71,434.7054,3.87,13.12,-74.97,300164.XSHE,-0.85,-0.87,-0.44,-6.5,64.07,106.58,-6.58,-6.5,57.92,12.19,0.68,102.99,0.0,,193.97,42.61,-647.44,-21.72,-8.32,-21.72,-8.32,-224.69,-140.7,-19587.1406,-147.27,-24.95,-239.81,1,1,1
0,300164.XSHE,2015-08-24,710.93,583.8056,5.28,19.47,-584.02,300164.XSHE,-1.36,-1.36,-0.95,-13.58,44.32,117.13,-17.13,-13.58,44.77,13.3,1.79,99.69,0.0,,123.83,28.14,-164.24,-46.93,-4.48,-46.93,-4.48,-229.55,-148.65,-210.39,-99.55,-283.54,-58.5,-1,-1,-1
